ts,PID,MINFLT,MAJFLT,VSTEXT,VSIZE,RSIZE,VGROW,RGROW,MEM,CMD,label,type
1554219735,1851,0,0,36,159.8,4392,0,0,0,vmtoolsd,0,normal
1554219740,2325,0,0,869,290.1,3880,0,0,0,gnome-eyring-,0,normal
1554219745,1668,0,0,12,9480,3500,0,0,0,haveged,0,normal
1554219750,2949,1,0,66,121.7,3420,0,0,0,gvfsd-metadata,0,normal
1554219755,2753,1,0,6,200.3,3312,0,0,0,ibus-engine-si,0,normal
1554219760,2751,1,0,69,174.1,2816,0,0,0,dconf-service,0,normal
1554219765,2327,0,0,245,40296,2664,0,0,0,init,0,normal
1554219770,3677,1394,0,148,17384,2332,156,16,0,atop,0,normal
1554219775,3678,2076,0,148,17620,2332,92,0,0,atop,0,normal
1554219780,3675,1721,0,148,17388,2328,160,12,0,atop,0,normal
1554219785,3676,2223,0,148,17388,2328,424,524,0,atop,0,normal
1554219790,2420,0,0,415,40212,2304,0,0,0,dbus-daemon,0,normal
1554219795,2483,0,0,415,39392,2044,0,0,0,dbus-daemon,0,normal
1554219800,1371,5,0,36,19296,820,0,0,0,irqbalance,0,normal
1554219805,3651,9968,0,0,0,0,0,0,0,<dconf,0,normal
1554219810,3257,6794,0,193,2,522.9,0,21836,0.14,Web-Content,0,normal
1554219815,3197,0,0,193,2.6,402.6,0,0,0.11,firefox,0,normal
1554219820,1442,511,0,2219,712.3,288.4,1632,0,0.08,Xorg,0,normal
1554219825,3119,0,0,3063,725.9,116.8,0,0,0.03,update-manager,0,normal
1554219830,2797,1594,0,1350,1.4,109.6,0,0,0.03,nautilus,0,normal
1554219835,2774,1748,0,10,1.3,88688,96,8,0.02,compiz,0,normal
1554219840,2533,0,0,589,632.5,26524,96,160,0.01,hud-service,0,normal
1554219845,2547,0,0,66,706.1,21044,0,0,0.01,unity-panel-se,0,normal
1554219850,2523,1,0,31,931.9,20788,0,8,0.01,unity-settings,0,normal
1554219855,3155,0,0,280,707.8,19576,0,0,0.01,gnome-terminal,0,normal
1554219860,2801,0,0,127,454.3,17000,0,0,0,tracer-store,0,normal
1554219865,2809,0,0,36,381,16920,0,0,0,vmtoolsd,0,normal
1554219870,2795,0,0,297,456.9,15864,0,0,0,nm-applet,0,normal
1554219875,2460,0,0,281,607.4,15512,0,0,0,bamfdaemon,0,normal
1554219880,2584,0,0,154,537.9,15100,0,0,0,ibus-ui-gt3,0,normal
1554219885,1935,0,0,596,184.2,14072,0,0,0,apache2,0,normal
1554219890,2794,0,0,33,465.9,11844,0,0,0,unity-fallbac,0,normal
1554219895,2966,0,0,27,444.4,11808,0,0,0,telepathy-indi,0,normal
1554219900,2697,0,0,47,508.4,11752,0,0,0,indicator-prin,0,normal
1554219905,2537,0,0,223,642.3,11556,0,0,0,gnome-session,0,normal
1554219910,2982,2,0,119,472.7,11380,0,0,0,zeitgeist-data,0,normal
1554219915,2707,0,0,121,521.1,11344,0,0,0,indicator-eyb,0,normal
1554219920,2793,0,0,38,324.1,9688,0,0,0,polit-gnome-a,0,normal
1554219925,2993,0,0,127,246.5,9676,0,0,0,zeitgeist-fts,0,normal
1554219930,2842,0,0,350,315.2,7220,0,0,0,mission-contro,0,normal
1554219935,2501,1,0,148,353.5,4548,0,0,0,ibus-daemon,0,normal
1554219940,2325,0,0,869,290.1,3880,0,0,0,gnome-eyring-,0,normal
1554219945,2864,0,0,39,58160,3664,0,0,0,gconfd-2,0,normal
1554219950,2753,0,0,6,200.3,3312,0,0,0,ibus-engine-si,0,normal
1554219955,2751,2,0,69,174.1,2816,0,0,0,dconf-service,0,normal
1554219960,2327,0,0,245,40296,2664,0,0,0,init,0,normal
1554219965,3678,914,0,148,17624,2356,4,24,0,atop,0,normal
1554219970,3675,1919,0,148,17624,2352,236,24,0,atop,0,normal
1554219975,3677,1688,0,148,17624,2352,240,20,0,atop,0,normal
1554219980,3676,2015,0,148,17624,2348,236,20,0,atop,0,normal
1554219985,2420,1,0,415,40212,2304,0,0,0,dbus-daemon,0,normal
1554219990,2483,1,0,415,39392,2044,0,0,0,dbus-daemon,0,normal
1554219995,3099,0,0,60,17520,1100,0,0,0,systemd-hostna,0,normal
1554220000,1371,5,0,36,19296,820,0,0,0,irqbalance,0,normal
1554220005,2498,0,0,121,22412,752,0,0,0,upstart-dbus-b,0,normal
1554220010,3689,80,0,0,0,0,0,0,0,<compiz>,0,normal
1554220015,3690,2730,0,0,0,0,0,0,0,<gdbus>,0,normal
1554220020,3257,10663,0,193,2,497.3,0,25.6,0.14,Web-Content,0,normal
1554220025,3197,0,0,193,2.6,402.6,0,0,0.11,firefox,0,normal
1554220030,1442,916,0,2219,762.6,289.9,51600,1512,0.08,Xorg,0,normal
1554220035,3119,0,0,3063,725.9,116.8,0,0,0.03,update-manager,0,normal
1554220040,2797,1682,0,1350,1.4,109.6,0,0,0.03,nautilus,0,normal
1554220045,2774,2762,0,10,1.3,88628,172,60,0.02,compiz,0,normal
1554220050,1483,0,0,10415,537.4,54344,0,0,0.01,mysqld,0,normal
1554220055,2788,0,0,4,857.6,46736,0,0,0.01,evolution-cale,0,normal
1554220060,3699,9584,0,545,802.4,33800,802.4,33800,0.01,gedit,0,normal
1554220065,2533,0,0,589,632.5,26524,0,0,0.01,hud-service,0,normal
1554220070,2547,9,0,66,706.1,21308,0,264,0.01,unity-panel-se,0,normal
1554220075,3155,0,0,280,707.8,19576,0,0,0.01,gnome-terminal,0,normal
1554220080,2809,0,0,36,381,16920,0,0,0,vmtoolsd,0,normal
1554220085,2460,0,0,281,607.4,15512,0,0,0,bamfdaemon,0,normal
1554220090,2584,0,0,154,537.9,15100,0,0,0,ibus-ui-gt3,0,normal
1554220095,2537,0,0,223,642.3,11556,0,0,0,gnome-session,0,normal
1554220100,2982,0,0,119,472.7,11380,0,0,0,zeitgeist-data,0,normal
1554220105,2707,0,0,121,521.1,11344,0,0,0,indicator-eyb,0,normal
1554220110,2993,0,0,127,246.5,9676,0,0,0,zeitgeist-fts,0,normal
1554220115,2842,0,0,350,315.2,7220,0,0,0,mission-contro,0,normal
1554220120,2874,1,0,72,207.5,5416,0,0,0,gvfs-gphoto2-v,0,normal
1554220125,2830,1,0,141,436,5228,0,0,0,gvfs-udiss2-v,0,normal
1554220130,1339,0,0,47,425.2,5172,0,0,0,whoopsie,0,normal
1554220135,2987,5,0,189,344,4984,0,0,0,zeitgeist-daem,0,normal
1554220140,2437,0,0,239,78328,4632,0,0,0,window-stac-b,0,normal
1554220145,2501,2,0,148,353.5,4548,0,0,0,ibus-daemon,0,normal
1554220150,1851,7,0,36,159.8,4392,0,0,0,vmtoolsd,0,normal
1554220155,2908,0,0,39,423.1,3928,0,0,0,gvfsd-trash,0,normal
1554220160,2325,0,0,869,290.1,3880,0,0,0,gnome-eyring-,0,normal
1554220165,2864,0,0,39,58160,3664,0,0,0,gconfd-2,0,normal
1554220170,2489,0,0,78,122,3320,0,0,0,at-spi2-regist,0,normal
1554220175,2753,0,0,6,200.3,3312,0,0,0,ibus-engine-si,0,normal
1554220180,2870,0,0,71,195.6,3064,0,0,0,gvfs-mtp-volum,0,normal
1554220185,2751,3,0,69,174.1,2816,0,0,0,dconf-service,0,normal
1554220190,2327,0,0,245,40296,2664,0,0,0,init,0,normal
1554220195,3678,3013,0,148,17620,2356,4,0,0,atop,0,normal
1554220200,3675,1942,0,148,17624,2352,0,0,0,atop,0,normal
1554220205,3677,2861,0,148,17624,2352,0,0,0,atop,0,normal
1554220210,3676,2009,0,148,17624,2348,0,0,0,atop,0,normal
1554220215,2420,1,0,415,40212,2304,0,0,0,dbus-daemon,0,normal
1554220220,2483,1,0,415,39392,2044,0,0,0,dbus-daemon,0,normal
1554220225,1371,5,0,36,19296,820,0,0,0,irqbalance,0,normal
1554220230,2498,0,0,121,22412,752,0,0,0,upstart-dbus-b,0,normal
1554220235,3698,105,0,0,0,0,0,0,0,<nautilus>,0,normal
1554220240,3257,6882,0,193,2,519.2,2048,22420,0.14,Web-Content,0,normal
1554220245,3197,424,2,193,2.6,403,0,440,0.11,firefox,0,normal
1554220250,1442,318,0,2219,768.8,290.5,6260,604,0.08,Xorg,0,normal
1554220255,2797,205,0,1350,1.4,109.6,0,0,0.03,nautilus,0,normal
1554220260,2774,3016,0,10,1.3,87508,1152,1120,0.02,compiz,0,normal
1554220265,1483,0,0,10415,537.4,54344,0,0,0.01,mysqld,0,normal
1554220270,2788,0,0,4,857.6,46736,0,0,0.01,evolution-cale,0,normal
1554220275,3699,139,0,545,802.9,34328,540,528,0.01,gedit,0,normal
1554220280,2533,0,0,589,632.5,26524,0,0,0.01,hud-service,0,normal
1554220285,2547,96,0,66,706.3,21568,264,260,0.01,unity-panel-se,0,normal
1554220290,3155,1142,0,280,708.9,21288,1124,1712,0.01,gnome-terminal,0,normal
1554220295,2523,0,0,31,931.9,20788,0,0,0.01,unity-settings,0,normal
1554220300,3086,0,0,49,627.8,18320,0,0,0,update-notifie,0,normal
1554220305,2809,0,0,36,381,16920,0,0,0,vmtoolsd,0,normal
1554220310,2795,0,0,297,456.9,15864,0,0,0,nm-applet,0,normal
1554220315,2460,1,0,281,607.4,15512,0,0,0,bamfdaemon,0,normal
1554220320,2584,0,0,154,537.9,15100,0,0,0,ibus-ui-gt3,0,normal
1554220325,2794,0,0,33,465.9,11844,0,0,0,unity-fallbac,0,normal
1554220330,2966,0,0,27,444.4,11808,0,0,0,telepathy-indi,0,normal
1554220335,2697,0,0,47,508.4,11752,0,0,0,indicator-prin,0,normal
1554220340,2537,0,0,223,642.3,11556,0,0,0,gnome-session,0,normal
1554220345,2982,0,0,119,472.7,11380,0,0,0,zeitgeist-data,0,normal
1554220350,2707,0,0,121,521.1,11344,0,0,0,indicator-eyb,0,normal
1554220355,2793,0,0,38,324.1,9688,0,0,0,polit-gnome-a,0,normal
1554220360,2993,0,0,127,246.5,9676,0,0,0,zeitgeist-fts,0,normal
1554220365,2842,0,0,350,315.2,7220,0,0,0,mission-contro,0,normal
1554220370,2691,0,0,203,540.2,5624,0,0,0,indicator-soun,0,normal
1554220375,1339,0,0,47,425.2,5172,0,0,0,whoopsie,0,normal
1554220380,2318,0,0,211,254.8,4980,0,0,0,gdm-session-wo,0,normal
1554220385,2437,0,0,239,78328,4632,0,0,0,window-stac-b,0,normal
1554220390,2501,5,0,148,353.5,4548,0,0,0,ibus-daemon,0,normal
1554220395,1851,0,0,36,159.8,4392,0,0,0,vmtoolsd,0,normal
1554220400,3721,1517,0,956,27296,4192,27296,4192,0,bash,0,normal
1554220405,1452,36,0,148,280.7,4096,0,0,0,accounts-daemo,0,normal
1554220410,2698,7,0,357,808.8,4060,0,0,0,indicator-sess,0,normal
1554220415,2325,0,0,869,290.1,3880,0,0,0,gnome-eyring-,0,normal
1554220420,1668,0,0,12,9480,3500,0,0,0,haveged,0,normal
1554220425,2753,2,0,6,200.3,3312,0,0,0,ibus-engine-si,0,normal
1554220430,2327,0,0,245,40296,2664,0,0,0,init,0,normal
1554220435,3678,2138,0,148,17620,2356,0,0,0,atop,0,normal
1554220440,3675,2499,0,148,17620,2352,4,0,0,atop,0,normal
1554220445,3677,2138,0,148,17620,2352,4,0,0,atop,0,normal
1554220450,3676,2023,0,148,17624,2348,0,0,0,atop,0,normal
1554220455,2420,1,0,415,40212,2304,0,0,0,dbus-daemon,0,normal
1554220460,2483,1,0,415,39392,2044,0,0,0,dbus-daemon,0,normal
1554220465,1371,5,0,36,19296,820,0,0,0,irqbalance,0,normal
1554220470,3163,2,0,10,14824,820,0,16,0,gnome-pty-help,0,normal
1554220475,2498,0,0,121,22412,752,0,0,0,upstart-dbus-b,0,normal
1554220480,2497,0,0,121,22308,628,0,0,0,upstart-dbus-b,0,normal
1554220485,3714,80,0,0,0,0,0,0,0,<compiz>,0,normal
1554220490,3715,2923,0,0,0,0,0,0,0,<pool>,0,normal
1554220495,3723,318,0,0,0,0,0,0,0,<groups>,0,normal
1554220500,3722,329,0,0,0,0,0,0,0,<bash>,0,normal
1554220505,3726,229,0,0,0,0,0,0,0,<basename>,0,normal
1554220510,3728,230,0,0,0,0,0,0,0,<dirname>,0,normal
1554220515,3727,80,0,0,0,0,0,0,0,<lesspipe>,0,normal
1554220520,3725,279,0,0,0,0,0,0,0,<lesspipe>,0,normal
1554220525,3724,221,0,0,0,0,0,0,0,<bash>,0,normal
1554220530,3730,239,0,0,0,0,0,0,0,<dircolors>,0,normal
1554220535,3729,217,0,0,0,0,0,0,0,<bash>,0,normal
1554220540,3732,299,0,0,0,0,0,0,0,<ls>,0,normal
1554220545,3731,286,0,0,0,0,0,0,0,<bash>,0,normal
1554220550,3257,15089,0,193,2,497.9,0,21.3,0.14,Web-Content,0,normal
1554220555,3197,680,0,193,2.6,398.8,1024,4352,0.11,firefox,0,normal
1554220560,1442,24,0,2219,769.4,290.5,668,0,0.08,Xorg,0,normal
1554220565,2797,0,0,1350,1.4,109.6,0,0,0.03,nautilus,0,normal
1554220570,2774,25,0,10,1.3,87508,220,0,0.02,compiz,0,normal
1554220575,3699,0,0,545,802.9,34380,0,52,0.01,gedit,0,normal
1554220580,3155,152,0,280,708.9,21288,0,0,0.01,gnome-terminal,0,normal
1554220585,2523,5,0,31,931.9,20792,0,4,0.01,unity-settings,0,normal
1554220590,2809,0,0,36,381,16920,0,0,0,vmtoolsd,0,normal
1554220595,2460,0,0,281,607.4,15512,0,0,0,bamfdaemon,0,normal
1554220600,2584,0,0,154,537.9,15100,0,0,0,ibus-ui-gt3,0,normal
1554220605,2501,0,0,148,353.5,4556,0,8,0,ibus-daemon,0,normal
1554220610,3735,1674,0,956,27308,4244,27308,4244,0,bash,0,normal
1554220615,3721,23,0,956,27296,4192,0,0,0,bash,0,normal
1554220620,1668,0,0,12,9480,3500,0,0,0,haveged,0,normal
1554220625,2753,1,0,6,200.3,3312,0,0,0,ibus-engine-si,0,normal
1554220630,3678,2032,0,148,17620,2380,0,24,0,atop,0,normal
1554220635,3675,2032,0,148,17620,2376,0,24,0,atop,0,normal
1554220640,3677,2039,0,148,17620,2376,0,24,0,atop,0,normal
1554220645,3676,2036,0,148,17624,2348,0,0,0,atop,0,normal
1554220650,2420,0,0,415,40212,2304,0,0,0,dbus-daemon,0,normal
1554220655,3734,808,0,140,71240,2228,71240,2228,0,sudo,0,normal
1554220660,1371,5,0,36,19296,820,0,0,0,irqbalance,0,normal
1554220665,2498,0,0,121,22412,752,0,0,0,upstart-dbus-b,0,normal
